,abb,accommodation,account,additional,adhityatanningcoyahoocoin,adult,aforesaid,agauda,age,agnes,ago,agreed,aguada,airline,airport,along,already,also,amrit,amritsar,any,apply,appreciated,april,arrange,arun,ask,assistance,athalye,attached,attending,authorization,availability,available,babu,back,bangalore,banjara,bank,barder,bear,bed,below,bengaluru,best,bill,book,booked,booking,breakfast,call,cancel,cancellation,cancelled,cape,card,category,center,chandigarh,change,charge,charm,charunya,check,chitti,circle,comment,complimentary,confirm,confirmation,confirmed,contact,contracted,conversation,coorg,copy,corporate,cost,could,couple,cpai,credit,datetime,day,dear,dec,december,delhi,delight,deluxe,department,dept,detail,directly,discount,double,dubai,due,earliest,email,entertained,executive,expense,expired,extra,family,favoring,fit,following,fort,forward,gadamshetty,gampa,ganges,gateway,gaurav,general,given,go,goa,good,greeting,group,guest,hear,hearing,hesitate,hi,holiday,honeymoon,hope,hotel,hotelresort,husband,in,include,inner,invitation,invoice,isnt,it,jan,ji,kid,kind,kindly,king,know,kuala,leave,lerner,let,letter,like,limousine,link,local,looking,lumpur,madikeri,mahal,mahesh,making,manager,manufacturing,many,may,me,member,membership,mention,misscaashika,misscashika,mode,monday,mr,mumbai,name,new,night,no,noted,november,number,office,one,online,option,package,palace,party,pax,payment,per,person,pl,place,plan,please,pm,policy,proceed,programme,provided,queen,question,quote,rate,re,receive,received,recommended,redeem,referring,relation,representative,request,requested,requester,reservation,resort,response,revert,rohit,room,same,say,see,self,send,sending,sent,serial,settled,shaoib,share,shevawn,shweta,signature,since,singh,sir,sirmadam,soon,spare,spouse,staff,star,starting,stay,suggest,sunday,superior,sure,surprised,swarna,taj,talked,tariffpackage,team,thank,thanks,thursday,town,transfer,travel,traveller,travelling,trip,two,type,uday,unable,update,upon,vivanta,want,with,without,would,wrote,year,yet,you,class_to_exec
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318219227092343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654260441857807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23454401189172855,0.0,0.0,0.0,0.0,0.318219227092343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12286123621781232,0.0,0.21263286127921832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318219227092343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318219227092343,0.318219227092343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21263286127921832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21263286127921832,0.0,0.0,0.0,0.0,0.14284406957650628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318219227092343,0.14284406957650628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14284406957650628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23454401189172855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Booking
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556869371957573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29667778899176933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2186719381255455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23766864078778135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19002731453886507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29667778899176933,0.0,0.0,0.0,0.3556869371957573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15966278992155752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556869371957573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556869371957573,0.0,0.0,0.15966278992155752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556869371957573,0.0,Booking
2,0.0,0.08120584247345565,0.0,0.0,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08120584247345565,0.19471533403254462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.08120584247345565,0.0,0.0,0.09735766701627231,0.08120584247345565,0.0,0.055605806254863596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.11121161250972719,0.0,0.0,0.09735766701627231,0.09735766701627231,0.07175763079768026,0.07175763079768026,0.0,0.08120584247345565,0.09735766701627231,0.0,0.19471533403254462,0.09735766701627231,0.08120584247345565,0.0,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.0,0.1624116849469113,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.14351526159536052,0.09735766701627231,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.09735766701627231,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.07175763079768026,0.0,0.0,0.29207300104881695,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.0,0.0,0.0,0.09735766701627231,0.09735766701627231,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11970858365323013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.0,0.21527289239304076,0.0,0.0,0.07175763079768026,0.0,0.0,0.08120584247345565,0.0,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.13010803586127795,0.0,0.0,0.09735766701627231,0.07175763079768026,0.043702467283798396,0.1624116849469113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06505401793063897,0.0,0.0,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.0,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.1311074018513952,0.0,0.0,0.0,0.09735766701627231,0.0,0.09735766701627231,0.0,0.09735766701627231,0.09735766701627231,0.0,0.0,0.0,0.09735766701627231,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.0,0.08120584247345565,0.0,0.0,0.0,0.043702467283798396,0.0,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735766701627231,0.0,0.09735766701627231,0.0,0.09735766701627231,0.0,0.0,0.0,0.09735766701627231,0.09735766701627231,0.0,0.0,0.0,0.0,0.0,0.19471533403254462,0.0,0.0,Booking
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19095556852888304,0.19095556852888304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.21609838068799414,0.10002829329517889,0.21609838068799414,0.0,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21609838068799414,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11629745009031728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.15927937137264633,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21609838068799414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21609838068799414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.0,0.0,0.0,0.0,0.0,0.11629745009031728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908030197032317,0.0,0.11629745009031728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11629745009031728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Booking
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088965081099722,0.0,0.0,0.5953652108142947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4760226330487014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999588261445281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancellation
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,0.4040342039884462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.2020171019942231,0.0,0.0,0.0,0.0,0.2020171019942231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799676692994943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,0.0,0.0,0.0,0.16850207553499597,0.09068259399842318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4040342039884462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.0,0.0,0.0,0.13498704907576883,0.0,0.0,0.0,0.0,0.09068259399842318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.0,0.0,0.10792852750102098,0.2020171019942231,0.0,0.0,0.0,0.0,0.0,0.0,0.14889704184567074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16850207553499597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18136518799684637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020171019942231,Cancellation
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31613709688447494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21647528827841855,0.0,0.0,0.25325749654017005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37901669722877984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14633452665387564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25325749654017005,0.0,0.0,0.0,0.0,0.17013518624974427,0.0,0.37901669722877984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37901669722877984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31613709688447494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37901669722877984,0.0,0.0,0.0,0.0,0.0,Cancellation
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16936080194718905,0.20304662890447833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16936080194718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11597002941410366,0.0,0.3387216038943781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12483056089283423,0.0,0.0,0.0,0.0,0.0,0.07839425689329711,0.0,0.13567497498989972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09114473393554492,0.0,0.0,0.0,0.0,0.3387216038943781,0.20304662890447833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16936080194718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387216038943781,0.0,0.0,0.13567497498989972,0.0,0.0,0.13567497498989972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14965585637139295,0.0,0.0,0.0,0.0,0.20304662890447833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20304662890447833,0.0,0.0,0.0,0.16936080194718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09114473393554492,0.20304662890447833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3387216038943781,0.0,0.0,0.0,0.0,0.0,0.0,0.09114473393554492,0.0,0.0,0.16936080194718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2319400588282073,0.0,0.0,0.0,0.0,Enquiry
8,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175052117975239,0.0,0.0,0.15875260589876194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.15875260589876194,0.0,0.19032846495138966,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10870605337229035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.10168382162179807,0.0,0.0,0.0,0.08543573164426217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.19032846495138966,0.15875260589876194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15875260589876194,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25435349369226845,0.0,0.15875260589876194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08543573164426217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19032846495138966,0.0,0.14028191242491805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38065692990277933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enquiry
9,0.0,0.0,0.0,0.0,0.0,0.26328091040090496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31564742666060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31564742666060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31564742666060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26328091040090496,0.12186828999254304,0.0,0.21091439414120985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26328091040090496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31564742666060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14168962506614305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21091439414120985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21091439414120985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21091439414120985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686360294879355,0.0,0.0,0.0,0.0,0.14168962506614305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31564742666060003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18028194583588356,0.0,0.0,0.0,0.0,Enquiry
